file,speaker,chapter,utt_id,seconds,text,cleaned_text
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\7850\73752\7850-73752-0008.flac,7850,73752,8,10.61,"Four and twenty hours ago, and he deemed himself the most miserable and forlorn of human beings. And now all the blessings of the world seem showered at his feet.","four and twenty hours ago, and he deemed himself the most miserable and forlorn of human beings. and now all the blessings of the world seem showered at his feet."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5694\64038\5694-64038-0009.flac,5694,64038,9,2.385,The voice appeared to be overhead.,the voice appeared to be overhead.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1462\170142\1462-170142-0029.flac,1462,170142,29,3.975,"Yes, Hilda, I know that,"" he said simply.","yes, hilda, i know that,"" he said simply."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1462\170142\1462-170142-0021.flac,1462,170142,21,8.17,"Could you, could you sit down and talk about it quietly, Bartley, as if I were a friend, and not someone who had to be defied?","could you, could you sit down and talk about it quietly, bartley, as if i were a friend, and not someone who had to be defied?"
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1988\24833\1988-24833-0005.flac,1988,24833,5,6.455,"I explain that I'm taking music and also biology, algebra, English, and French. Music! Peace, Norts.","i explain that i'm taking music and also biology, algebra, english, and french. music! peace, norts."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\118436\251-118436-0006.flac,251,118436,6,6.965,"This man was clad in a brown camel hair robe and sandals, and a green turban was on his head.","this man was clad in a brown camel hair robe and sandals, and a green turban was on his head."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\137823\251-137823-0015.flac,251,137823,15,2.615,Let's see about getting help from Mr. Faber.,let's see about getting help from mr. faber.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6313\76958\6313-76958-0028.flac,6313,76958,28,3.795,"He's a trouble-curer, not a troublemaker, except for himself.","he's a trouble-curer, not a troublemaker, except for himself."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\7976\110124\7976-110124-0005.flac,7976,110124,5,5.21,"Let me enter, I pray you, to pass the night under your roof.","let me enter, i pray you, to pass the night under your roof."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1462\170142\1462-170142-0007.flac,1462,170142,7,2.44,"I never dreamed it would be you, Bartley.","i never dreamed it would be you, bartley."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\777\126732\777-126732-0022.flac,777,126732,22,3.02,There was an extraordinary force of suggestion in this posturing.,there was an extraordinary force of suggestion in this posturing.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2428\83699\2428-83699-0012.flac,2428,83699,12,8.125,"I felt quite lively myself as I mingled with the Christmas crowd, looking for things which might not turn out to be absolutely preposterous.","i felt quite lively myself as i mingled with the christmas crowd, looking for things which might not turn out to be absolutely preposterous."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\8842\302201\8842-302201-0000.flac,8842,302201,0,9.5,"Thereafter, this sonnet bred in me desire to write down and verse four other things touching my condition, the which things it seemed to me that I had not yet made manifest.","thereafter, this sonnet bred in me desire to write down and verse four other things touching my condition, the which things it seemed to me that i had not yet made manifest."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\652\130726\652-130726-0006.flac,652,130726,6,7.405,"John Tate is the presiding spirit here, he having made reputation as club manager and then as manager of the Cliff House.","john tate is the presiding spirit here, he having made reputation as club manager and then as manager of the cliff house."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5694\64029\5694-64029-0032.flac,5694,64029,32,3.125,Our pickets had run in and reported a night attack.,our pickets had run in and reported a night attack.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\118436\251-118436-0013.flac,251,118436,13,8.225,By which a soul is drawn from its body and across gulfs of echoing space. Return the man on the mat.,by which a soul is drawn from its body and across gulfs of echoing space. return the man on the mat.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6241\61943\6241-61943-0014.flac,6241,61943,14,6.74,"He was, however, but a civil servant, a magistrate, the governor of the island, Baron Tramp.","he was, however, but a civil servant, a magistrate, the governor of the island, baron tramp."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\7850\73752\7850-73752-0003.flac,7850,73752,3,28.945,"This violent and triumphant revolution in his prospects and his fortunes was hardly yet completely comprehended by our friend Ferdinand Armin, and when he had left a note for the generous Mirabelle, whose slumbers he would not disturb at this early hour, even with good news, he strolled along up Charles Street and to the park in one of those wild and joyous reveries in which we brood overcoming bliss and create a thousand glorious consequences.","this violent and triumphant revolution in his prospects and his fortunes was hardly yet completely comprehended by our friend ferdinand armin, and when he had left a note for the generous mirabelle, whose slumbers he would not disturb at this early hour, even with good news, he strolled along up charles street and to the park in one of those wild and joyous reveries in which we brood overcoming bliss and create a thousand glorious consequences."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3081\166546\3081-166546-0033.flac,3081,166546,33,2.73,"But clues, there are absolutely none.","but clues, there are absolutely none."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1272\135031\1272-135031-0011.flac,1272,135031,11,3.18,"Not exactly, we've turned calico.","not exactly, we've turned calico."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2277\149874\2277-149874-0004.flac,2277,149874,4,3.215,His ambition was someday to build a house on them.,his ambition was someday to build a house on them.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5694\64038\5694-64038-0012.flac,5694,64038,12,2.805,the poor fellow stayed in that well all night.,the poor fellow stayed in that all night.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3752\4944\3752-4944-0012.flac,3752,4944,12,5.545,"Yes, one oughtn't to leave the colony without seeing it, says Burgess. It's worth seeing.","yes, one oughtn't to leave the colony without seeing it, says burgess. it's worth seeing."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3081\166546\3081-166546-0032.flac,3081,166546,32,3.69,It's the most inexplicable there.,it's the most inexplicable there.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2086\149220\2086-149220-0037.flac,2086,149220,37,4.835,"Since you are a friend of my cousin Hephsebas, you should ask her to show you the picture.","since you are a friend of my cousin hephsebas, you should ask her to show you the picture."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2428\83705\2428-83705-0036.flac,2428,83705,36,1.96,Someone sniggered.,someone sniggered.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3752\4943\3752-4943-0028.flac,3752,4943,28,3.76,That last fellow you had ought to have been tied up himself.,that last fellow you had ought to have been tied up himself.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1993\147149\1993-147149-0011.flac,1993,147149,11,3.12,Then the mother lifted up her voice and wept.,then the mother lifted up her voice and wept.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1988\24833\1988-24833-0001.flac,1988,24833,1,7.895,"Somehow or other, Cat has taught them that he is in charge here, and he just chases them for fun now and again, when he's not busy sleeping.","somehow or other, cat has taught them that he is in charge here, and he just chases them for fun now and again, when he's not busy sleeping."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5338\24615\5338-24615-0012.flac,5338,24615,12,4.3,This work of art was the wonder of the country ten miles round.,this work of art was the wonder of the country ten miles round.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1988\24833\1988-24833-0018.flac,1988,24833,18,5.35,"Well, I don't think you should turn a guy's TV program off in the middle without even finding out about it.",", i don't think you should turn a guy's tv program off in the middle without even finding out about it."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3853\163249\3853-163249-0019.flac,3853,163249,19,5.8,Bennett will take the garden and the greenhouse off my hands this autumn for a year or longer if I like.,bennett will take the garden and the greenhouse off my hands this autumn for a year or longer if i .
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3752\4944\3752-4944-0027.flac,3752,4944,27,11.39,"Before the two clergymen had got halfway down the steep path that led from the commandant's house to the flat on which the cottages of the doctor and chaplain were built, McElwain rejoined them.","before the two clergymen had got halfway down the steep path that led from the commandant's house to the flat on which the cottages of the doctor and chaplain were built, mcelwain rejoined them."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\7976\110124\7976-110124-0012.flac,7976,110124,12,8.295,"While they were talking, the beggar had taken the apples which the girls were to eat for dessert and had sprinkled a sleeping powder over them.","while they were talking, the beggar had taken the apples which the girls were to eat for dessert and had sprinkled a sleeping powder over them."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3000\15664\3000-15664-0024.flac,3000,15664,24,14.15,"Large flocks dwell here from year to year, winter and summer, descending occasionally into the adjacent sage plains and lava beds to feed, but ever ready to take refuge in the jagged crags of their mountain at every alarm.","large flocks dwell here from year to year, winter and summer, descending occasionally into the adjacent sage plains and lava beds to feed, but ever ready to take refuge in the jagged crags of their mountain at every alarm."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1673\143396\1673-143396-0010.flac,1673,143396,10,11.995,"But the rashness of these concessions has encouraged a milder sentiment of those of the dosi, who taught not that Christ was a phantom, but that he was clothed with an impassable and incorruptible body.","but the rashness of these concessions has encouraged a milder sentiment of those of the dosi, who taught not that christ was a phantom, but that he was clothed with an impassable and incorruptible body."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6241\66616\6241-66616-0004.flac,6241,66616,4,4.845,"Three days later, Minotaki became Nusam's wife at the Hudson Bay Post.","three days later, minotaki became nusam's wife at the hudson bay post."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6345\93306\6345-93306-0017.flac,6345,93306,17,7.475,"I shall lock up all the doors and windows in the house, and then I shall give you my latch key, and you can let yourself in and stay the night here. There is no one in the house.","i shall lock up all the doors and windows in the house, and then i shall give you my latch key, and you can let yourself in and stay the night here. there is no one in the house."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2035\147961\2035-147961-0029.flac,2035,147961,29,3.73,Now his middle horse was being almost dragged by the other two.,now his middle horse was being almost dragged by the other two.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5338\24615\5338-24615-0006.flac,5338,24615,6,11.585,It was one of those effects which a painter loves to represent and mingled well with the struggling light which found its way between the bowels of the shady arc that vaulted the broad green alley.,it was one of those effects which a painter loves to represent and mingled with the struggling light which found its way between the bowels of the shady arc that vaulted the broad green alley.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1919\142785\1919-142785-0054.flac,1919,142785,54,7.725,"If the quenelles are not firm enough, add the yolk of another egg, but omit the white, which only makes them hollow and puffy inside.","if the quenelles are not firm enough, add the yolk of another egg, but omit the white, which only makes them hollow and puffy inside."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\652\130726\652-130726-0035.flac,652,130726,35,5.09,"In addition to abalone, the Hoffbrough makes a specialty of little Oregon crawfish.","in addition to abalone, the hoffbrough makes a specialty of little oregon crawfish."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3170\137482\3170-137482-0004.flac,3170,137482,4,4.165,Our scandalous proceedings often exposed us to the greatest danger.,our scandalous proceedings often exposed us to the greatest danger.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\8297\275156\8297-275156-0005.flac,8297,275156,5,15.18,"In the meantime, after what Mrs. Presti had confessed, the cruel falsehood which had checked poor Kitty's natural inquiries raised an insupperable obstacle to a meeting between father and child.","in the meantime, after what mrs. presti had confessed, the cruel falsehood which had checked poor kitty's natural inquiries raised an insupperable obstacle to a meeting between father and child."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\8297\275154\8297-275154-0025.flac,8297,275154,25,4.88,She shall have your message. All that I can do to persuade her shall be done,she shall have your message. all that i can do to persuade her shall be done
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3853\163249\3853-163249-0030.flac,3853,163249,30,16.445,"He was not as unmoved as he seemed by the general excitement, and had felt sundry manly impulses to up an atom, when his comrades in the shop discussed the crisis with eye-reful brandishing of alls and vengeful pounding of sole leather, as if the rebels were under the hammer.","he was not as unmoved as he seemed by the general excitement, and had felt sundry manly impulses to up an atom, when his comrades in the shop discussed the crisis with eye-reful brandishing of alls and vengeful pounding of sole leather, as if the rebels were under the hammer."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\7850\111771\7850-111771-0006.flac,7850,111771,6,3.83,The capture of Lee was a far more difficult undertaking.,the capture of lee was a far more difficult undertaking.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2412\153954\2412-153954-0010.flac,2412,153954,10,7.94,The children were infinite in number and exceedingly merry. I need hardly say that they came in for their full share of the prevailing beauty.,the children were infinite in number and exceedingly merry. i need hardly say that they came in for their full share of the prevailing beauty.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1919\142785\1919-142785-0016.flac,1919,142785,16,2.78,"Illustration, The Lemon.","illustration, the lemon."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1673\143396\1673-143396-0020.flac,1673,143396,20,15.02,"Under the tuition of the Abbot Serapion, he applied himself to ecclesiastical studies with such indefatigable ardor that in the course of one sleepless night he has perused the four gospels, the Catholic epistles, and the epistles of the Romans.","under the tuition of the abbot serapion, he applied himself to ecclesiastical studies with such indefatigable ardor that in the course of one sleepless night he has perused the four gospels, the catholic epistles, and the epistles of the romans."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\136532\251-136532-0020.flac,251,136532,20,2.975,Bring it to the public attention. Dramatize it.,bring it to the public attention. dramatize it.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3081\166546\3081-166546-0079.flac,3081,166546,79,8.255,And the glance she cast him while not meeting his eye showed that she understood the importance of the admission.,and the glance she cast him while not meeting his eye showed that she understood the importance of the admission.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1919\142785\1919-142785-0058.flac,1919,142785,58,2.36,Fried bread for borders.,fried bread for borders.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\137823\251-137823-0016.flac,251,137823,16,6.77,"And the only truck we had available was in that burning shed,"" the superintendent added bitterly.","and the only truck we had available was in that burning shed,"" the superintendent added bitterly."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1993\147149\1993-147149-0006.flac,1993,147149,6,27.88,"She opened the door softly. There sat Mrs. Wilson in the old rocking chair, with one sick deathlike boy lying on her knee, crying without let or pause. But softly, gently, as fearing to disturb the troubled gasping child while behind her, old Alice let her fast-dropping tears fall down on the dead body of the other twin, which she was laying out on a board placed on a sort of sofa settee in the corner of the room.","she opened the door softly. there sat mrs. wilson in the old rocking chair, with one sick deathlike boy lying on her knee, crying without let or pause. but softly, gently, as fearing to disturb the troubled gasping child while behind her, old alice let her fast-dropping tears fall down on the dead body of the other twin, which she was laying out on a board placed on a sort of sofa settee in the corner of the room."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6241\61946\6241-61946-0004.flac,6241,61946,4,5.515,"We took our way through pour and sparse meadows, which made a desperate effort every year to show a little green.","we took our way through pour and sparse meadows, which made a desperate effort every year to show a little green."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\84\121123\84-121123-0020.flac,84,121123,20,6.92,"It was something terrible to witness the silent agony, the mute despair of Noitier whose tears silently rolled down his cheeks.","it was something terrible to witness the silent agony, the mute despair of noitier whose tears silently rolled down his cheeks."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3853\163249\3853-163249-0043.flac,3853,163249,43,5.66,"Nothing can part us anymore, not even death, for love like ours will last forever.","nothing can part us anymore, not even death, for love ours will last forever."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2277\149874\2277-149874-0017.flac,2277,149874,17,3.36,A shop girl was the destiny prefigured for the newcomer.,a shop girl was the destiny prefigured for the newcomer.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\422\122949\422-122949-0008.flac,422,122949,8,9.3,"Everywhere that slave morality gains the ascendancy, language shows a tendency to approximate the significations of the word good and stupid.","everywhere that slave morality gains the ascendancy, language shows a tendency to approximate the significations of the word good and stupid."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3853\163249\3853-163249-0004.flac,3853,163249,4,5.85,"I feel like a boy out of school, or rather a man out of prison, and must enjoy my liberty in some way.","i feel a boy out of school, or rather a man out of prison, and must enjoy my liberty in some way."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2428\83705\2428-83705-0013.flac,2428,83705,13,4.84,It is from her action in that matter that my suspicion springs.,it is from her action in that matter that my suspicion springs.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3000\15664\3000-15664-0034.flac,3000,15664,34,15.865,"Thus, the Shasta River issues from a large lake-like spring in Shasta Valley, and about two-thirds of the volume of the MacLeod gushes forth in a grand spring on the east side of the mountain, a few miles back from its immediate base.","thus, the shasta river issues from a large lake- spring in shasta valley, and about two-thirds of the volume of the macleod gushes forth in a grand spring on the east side of the mountain, a few miles back from its immediate base."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\8842\302196\8842-302196-0006.flac,8842,302196,6,5.365,"And, if you have time, it would be a great service to translate the analyses of the poem which I omitted.","and, if you have time, it would be a great service to translate the analyses of the poem which i omitted."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1919\142785\1919-142785-0024.flac,1919,142785,24,2.86,Illustration. Ginger.,illustration. ginger.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\7976\110523\7976-110523-0009.flac,7976,110523,9,6.725,"We are going into the forest to hue wood, and in the evening, when we are ready, we will come and fetch you again.","we are going into the forest to hue wood, and in the evening, when we are ready, we will come and fetch you again."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\84\121123\84-121123-0017.flac,84,121123,17,9.375,"My father has revealed the culprit's name. My father thirsts for revenge as much as you do. Yet even he conjures you as I do to keep this secret. Do you not, Father?","my father has revealed the culprit's name. my father thirsts for revenge as much as you do. yet even he conjures you as i do to keep this secret. do you not, father?"
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2277\149896\2277-149896-0029.flac,2277,149896,29,2.6,he would have some arrangement of this thing.,he would have some arrangement of this thing.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6345\93306\6345-93306-0008.flac,6345,93306,8,2.96,"Do drink this and then tell me, perhaps I can help you.","do drink this and then tell me, perhaps i can help you."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2803\154328\2803-154328-0023.flac,2803,154328,23,6.59,"My child, my child, murmured Lady Helena, the savages did not kill you.","my child, my child, murmured lady helena, the savages did not kill you."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2277\149874\2277-149874-0020.flac,2277,149874,20,7.38,"It gave an imposing appearance to most of the wholesale houses, whose offices were up on the ground floor and in plain view of the street.","it gave an imposing appearance to most of the wholesale houses, whose offices were up on the ground floor and in plain view of the street."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\6241\66616\6241-66616-0016.flac,6241,66616,16,5.05,Necessity had become his grim master and the following week he was going to work.,necessity had become his grim master and the following week he was going to work.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5338\24615\5338-24615-0010.flac,5338,24615,10,3.89,Stables and other offices occupied another side of the square.,stables and other offices occupied another side of the square.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3000\15664\3000-15664-0046.flac,3000,15664,46,5.36,"Every landscape, low and high, seems doomed to be trampled and harried.","every landscape, low and high, seems doomed to be trampled and harried."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\84\121550\84-121550-0009.flac,84,121550,9,8.615,Between her steps and mine were not a hundred when equally the margins gave a turn in such a way that to the east I faced.,between her steps and mine were not a hundred when equally the margins gave a turn in such a way that to the east i faced.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\777\126732\777-126732-0005.flac,777,126732,5,11.12,"With his elbow presenting no appearance of a joint, but more like a bend in a dummy's limb, thrown over the back of a chair, he leaned forward slightly over his short and enormous thighs to spit into the grate.","with his elbow presenting no appearance of a joint, but more a bend in a dummy's limb, thrown over the back of a chair, he leaned forward slightly over his short and enormous thighs to spit into the grate."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\118436\251-118436-0010.flac,251,118436,10,3.25,"Point of contact, inquired the other.","point of contact, inquired the other."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3576\138058\3576-138058-0019.flac,3576,138058,19,9.935,"Give me my horse and arms, and wait for me here. I will go in quest of this night, and dead or alive, I will make him keep his word plighted to so great beauty.","give me my horse and arms, and wait for me here. i will go in quest of this night, and dead or alive, i will make him keep his word plighted to great beauty."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\174\168635\174-168635-0020.flac,174,168635,20,4.62,"Hellas, he walked with no less indecision than Cozette.","hellas, he walked with no less indecision than cozette."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\137823\251-137823-0001.flac,251,137823,1,5.48,"Inside, a secret rocket telemetering device was mounted on its test stand.","inside, a secret rocket telemetering device was mounted on its test stand."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1462\170142\1462-170142-0030.flac,1462,170142,30,2.705,I understand Bartley. I was wrong.,i understand bartley. i was wrong.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3536\8226\3536-8226-0016.flac,3536,8226,16,4.74,Does one Mr. Samuel Basel live here? asked Trevelyan.,does one mr. samuel basel live here? asked trevelyan.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\5536\43363\5536-43363-0001.flac,5536,43363,1,7.14,"Therefore, he courts death in battle. On the other hand, he would regard it as disgraceful to be killed in a private quarrel.","therefore, he courts death in battle. on the other hand, he would regard it as disgraceful to be killed in a private quarrel."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3000\15664\3000-15664-0037.flac,3000,15664,37,10.07,The vivid green of the boulders beneath the water is very striking and colors the entire stream with the exception of the portions broken into foam.,the vivid green of the boulders beneath the water is very striking and colors the entire stream with the exception of the portions broken into foam.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1919\142785\1919-142785-0003.flac,1919,142785,3,5.405,"The long pepper is less aromatic than the black, but its oil is more pungent.","the long pepper is less aromatic than the black, but its oil is more pungent."
